discoverymethod,disc_year,pl_rade,pl_masse,pl_orbper,pl_dens,pl_orbeccen
Transit,2016,3.2,,50.28638192,,0.0
Transit,2014,1.247,,10.43547805,,
Transit,2013,1.11,,9.604869,,0.0
Transit,2014,2.04,,82.1997,,0.0
Transit,2016,2.04,,15.1410397,,0.0
Transit,2021,3.89404186,,4.220970154,,
Transit,2016,,,6.4702964145,,
Transit,2011,10.5,,1.85555754,,
Transit,2016,1.08,,1.341555127,,0.0
Transit,2016,2.518,,,,
Transit,2019,,,34.5073,,
Transit,2011,0.78,,1.2137672,,
Transit,2018,1.79105,,2.1747824,,
Transit,2012,,10.3,13.484577,1.52,
Transit,2021,0.88,,20.6577602,,0.0
Transit,2016,1.12,,2.99792926,,0.0
Radial Velocity,2006,,,1178.40002,,0.01
Transit,2016,1.45,,0.634002937,,0.0
Transit,2010,3.382,,22.68714105,1.189911,0.0
Transit,2016,1.6,,15.3787546,,
Transit,2014,1.491,,12.5094525,,
Transit,2020,0.815,,8.48293296,,
Transit,2014,,,9.03419765,,
Transit,2010,,,8.15872562,,
Microlensing,2023,,98.52680617,,,
Radial Velocity,2018,,,1785.0,,0.284
Transit,2021,1.95,,7.684334874,,0.0
Transit,2016,2.05,,11.17394617,,0.0
Transit,2014,,,11.0943544336,,
Transit,2016,1.69,,33.2406882,,
Transit,2016,3.96,,105.9564148,,
Transit,2023,,,7.32851947,,
Transit,2016,1.5,,1.9703213,,0.0
Transit,2014,1.519,,,,
Transit,2017,7.52,,5.1857539,,
Transit,2014,1.871,,,,
Transit,2013,,,88.51067812,,
Transit,2016,,,12.91385906,,
Transit,2014,2.554,,,,
Transit,2013,,,2.4841976,,
Transit,2016,,,21.35870629,,
Transit,2014,2.96,,88.2553729,,0.0
Transit,2016,5.045,,,,
Radial Velocity,2015,,,29.01,,0.11
Transit,2021,1.47,,13.2226208,,0.0
Radial Velocity,2005,,,5.239891,,0.0
Transit,2015,16.388,98.841,4.8996284,0.132,0.0
Transit,2020,,,11.2366063,,0.435
Radial Velocity,2021,,,33.91,,0.333
Transit,2016,1.67,4.97,0.959641,5.6,0.0
Transit,2014,2.24,,13.5405,,
Transit,2020,,,15.43400996,,
Transit,2014,,,7.3844305347,,
Transit,2020,2.8,,20.4998763,,0.0
Transit,2014,1.16,,12.5094525,,0.0
Transit,2014,1.75,,76.0498163,,0.0
Transit,2016,2.55,,14.36267939,,0.0
Transit,2023,13.0113,,4.2809767,,
Transit,2016,2.94,,9.07098164,,0.0
Transit,2016,2.84,,56.6747285,,0.0
Transit,2016,,,34.1731968935,,
Transit,2015,0.576,,,,
Transit,2014,,,35.1188577,,
Microlensing,2013,,1300.0,,,
Transit,2017,15.490838,711.9392,1.36665436,1.06,0.246
Transit,2013,,,59.7371443,,
Transit,2016,6.064,,,,
Transit,2016,1.32,,0.740928422,,0.0
Radial Velocity,2010,,1466.7780983,2041.11539,,0.1
Transit,2014,2.35,,25.9340674,,0.0
Transit,2020,7.7514065,,1.65114558035,,
Transit,2016,2.49,,40.1099547,,0.0
Transit,2016,1.55,,8.10501635,,0.0
Transit,2016,13.96,,2.995633,,
Transit,2024,2.77792285,,2.57359428214,,
Microlensing,2018,,,,,
Transit,2010,14.425983,491.68301,4.1250828,0.9,
Transit,2016,1.68,,2.613020856,,
Transit,2014,1.63,,7.01062745,,
Radial Velocity,2004,,,2.64389846,,
Transit,2014,,,7.5423836385,,
Transit,2014,2.41,16.13,16.092,6.0,
Transit,2014,3.84,,160.0200597,,
Transit,2014,1.69,,6.56225728,,0.0
Transit,2016,,,25.20299395,,
Transit,2016,,,33.3856176,,
Transit,2012,3.95,51.0,26.444,,
Transit,2014,,,3.763041531,,
Transit,2017,1.45,,25.575065,,0.14
Transit,2015,1.13,,384.843022,,0.0
Transit,2014,0.94,,1.937032068,,
Transit,2016,1.53,,12.98495573,,0.0
Transit,2016,,,40.0686713,,
Transit,2014,4.23,,30.159863,,0.0
Transit,2014,,,7.9579290104,,
Transit,2020,,,15.03353729,,
Transit,2014,1.57,,14.6673,,0.0
Transit,2014,,,9.36059705,,
Transit,2014,2.78,,4.761705259,,0.0
Radial Velocity,2022,,2585.53409095,5138.43727,,0.362
Transit,2021,3163.54,,3.035208688,,0.0
Transit,2016,,,52.06878869,,
Radial Velocity,2011,,,1275.0,,0.82
Transit,2016,1.75,,19.96371318,,0.0
Transit,2021,2.52,,135.1898,,0.0
Transit,2020,10.07,,6.959503,,0.059
Transit,2014,0.95,,7.41086267,,
Transit,2011,14.48,,1.485710994,,0.0
Transit,2016,7.66,,12.611906672,,0.0
Transit,2015,2.24,,32.94488,,
Transit,2016,,,20.2642023,,
Transit,2016,2.36,,48.0506878,,0.0
Transit,2019,2.001,7.1,11.230511,4.9,0.0
Transit,2016,3.34,,5.743477265,,
Microlensing,2022,,82.63538582,,,
Transit,2014,2.387,,13.57076622,5.397731,0.0
Transit,2016,,,14.08826442,,
Transit,2016,1.8,,10.35863224,,0.0
Transit,2014,2.94,,2.453234,,
Transit,2014,2.26,,5.76616658,,
Transit,2016,1.24,,1.450886907,,0.0
Transit,2018,2.2,,6.326796,,
Transit,2016,5.81,,3.573202801,,0.0
Transit,2016,,,12.1240028335,,
Radial Velocity,2024,,,12.089,,0.092
Transit,2016,3.002,,,,
Transit,2016,,,11.0459418441,,
Transit,2016,,,14.13175309,,
Transit,2024,7.22979255,147.15455244,23.624,2.13,0.105
Transit,2016,,,11.2969239773,,
Transit,2016,,,3.99010399,,
Transit,2016,,,1.55400389,,
Transit,2016,2.696,,,,
Transit,2016,2.69,,13.9782,,
Transit,2014,2.63,,25.67212848,,
Transit,2021,1.33,,21.1976,,
Transit,2014,3.41,,51.75529576,,0.0
Transit,2013,6.47,,191.239133,,0.0
Transit,2020,,,38.3524,,
Transit,2014,3.25,,51.8096695,,0.0
Transit,2016,,,13.3994287476,,
Transit,2014,,,9.93962361,,
Transit,2016,1.73,,8.05423,,
Transit,2014,1.56,,16.7261969,,0.0
Transit,2021,3.36093385,,29.96870041,,
Transit,2016,,,0.5688719526,,
Transit,2016,2.46,,43.3167737,,0.0
Transit,2016,1.87,,2.032319072,,0.0
Transit,2016,2.25,,16.17803,,0.0
Transit,2016,,,5.72716067,,
Transit,2016,,,5.7271670825,,
Transit,2015,,,5.14892826,,
Transit,2014,2.23,,9.69502544,,0.0
Transit,2012,,,20.0903131858,,
Transit,2014,2.17,,3.54653414,,0.0
Transit,2016,1.56,,1.847889171,,0.0
Radial Velocity,2010,,,4.6426,,0.22
Transit,2014,1.6,,4.6126736,,0.0
Radial Velocity,1999,,,3.52474955,,
Transit,2014,1.03,,23.9802348,,
Transit,2016,1.516,,,,
Transit,2014,,,16.2595097384,,
Radial Velocity,2007,,,1208.0,,0.146
Transit,2014,1.99,,10.22214214,,0.0
Transit,2016,,,0.9210167252,,
Transit,2014,6.35,,135.4977745,,
Radial Velocity,2008,,,762.0,,0.24
Transit,2021,3.56,,85.6542476,,0.0
Transit,2016,,,3.310667,,
Transit,2015,1.9,,24.645013,,
Transit,2023,3.23,,29.5422963,,0.0
Transit,2011,14.23543,87.40325,4.0552947,0.166,0.048
Transit,2014,1.31,,5.9142668,,0.0
Transit,2014,38.67,,92.749023,,0.0
Transit,2014,,,4.76338959,,0.019
Transit,2016,2.52,,16.54964934,,0.0
Transit,2016,,,8.508403512,,
Transit,2016,1.58,,1.21956827,,0.0
Transit,2016,1.66,,2.131945045,,0.0
Transit,2016,1.57,,3.749103,,0.0
Transit,2016,,,22.9229582451,,
Transit,2016,2.635,,85.7565495,,
Transit,2010,,,,,
Transit Timing Variations,2019,,55.2,2.1558,,0.015
Transit,2006,14.258,381.1,2.47063,0.77,0.0
Transit,2021,10.95117414,287.31687993,11.9126075,,0.022
Transit,2023,13.04725353,232.01473711,3.1774835,0.57,0.0
Transit,2014,2.28,,12.41217869,,0.0
Transit,2016,1.718,,,,
Transit,2016,2.42,,30.99660733,,0.0
Transit,2014,2.734,,30.8264713,,
Transit,2016,1.05,,5.21104261,,0.0
Transit,2014,,,31.5178011853,,
Transit,2016,8.594,48.30991786,160.8842,1.304,0.306
Transit,2016,,,7.03937093,,
Transit,2014,,,3.12899506,,
Transit,2014,,,4.57948235,,
Transit,2017,,,30.953,,
Transit,2016,,,4.89343316,,
Transit,2012,4.7,,26.44435456,,0.0
Transit,2018,,,1.76903814,,
Transit,2011,11.43318,765.9703,3.7681,2.81,0.081
Radial Velocity,2009,,,799.52,,0.5
Transit,2016,1.54,,2.361724329,,0.0
Transit,2014,1.9,,4.75400115,,0.0
Transit,2014,1.48,,2.092269993,,0.0
Transit,2016,1.9,,2.628113746,,0.0
Microlensing,2018,,,,,
Transit,2010,1.48,,1.59295975,,0.0
Transit,2015,1.92,,10.93406,,
Transit,2015,,,66.65056819,,
Transit,2016,,,1.907810683,,
Transit,2016,,,0.68458757,,
Transit,2014,,,23.2218126383,,
Transit,2014,1.57,6.8,3.5538229,9.6,0.095
Radial Velocity,2025,,,25.942,,0.2
Radial Velocity,2002,,,3.97097,,0.095
Transit,2016,,,15.74958583,,
Radial Velocity,2009,,,1634.0,,0.723
Transit,2007,12.116929,295.89973,2.152175,0.914,
Transit,2021,3.17021,,35.1257472,,
Transit,2011,0.9,,19.5776073,,0.0
Transit,2022,2.74,,7.47331,,
Transit,2016,2.69,,11.01816836,,0.0
Transit,2007,,617.86152,,,0.0066
Transit,2016,0.79,,4.16055856,,
Transit,2021,14.68,,2.440836404,,0.0
Transit,2016,2.1,,24.3078946,,
Transit,2015,4.37,,19.3037,,
Transit,2020,1.66,,7.01,,
Transit,2020,9.49027,,7.327945,,
Transit,2016,1.74,,24.3344939,,0.0
Transit,2016,,,184.77028256,,
Transit,2017,,,30.96028326,,
Microlensing,2020,,53.1,,,
Transit,2016,2.62,,12.92491623,,0.0
Transit,2016,1.416,,,,
Transit,2014,,,11.427550984,,
Transit,2014,,,8.0103205994,,
Transit,2014,,,37.05489764,,
Transit,2021,,,57.29373924,,
Transit,2014,,,19.30572737,,
Transit,2021,0.48,,2.37752807,,0.0
Transit,2014,1.85,,4.82297735,,
Transit,2016,1.32,,9.4060467,,0.0
Radial Velocity,2013,,,19.382,,0.02
Transit,2020,,,207.5829306,,
Microlensing,2023,,5.55,,,
Transit,2014,3.358,,,,
Transit,2014,1.41,,4.715106,,
Transit,2016,,,7.12806885,,
Transit,2016,0.76,,23.6225913,,0.0
Transit,2016,2.17,,5.448321078,,0.0
Transit,2016,,,19.76176209,,
Transit,2016,,,3.2758187162,,
Transit,2011,0.99,,19.5776286,,0.0
Transit,2014,,,7.8914489581,,
Imaging,2008,,,41627.54,,
Transit,2014,1.59,,10.222157,,
Transit,2013,3.5,5.84,36.8601,0.75,0.0
Transit,2018,16.06246934,434.15360396,2.18053332,0.577,0.03
